"state_abbrev,""state"",""municipality"",""geocode"",""period"",""zone"",""disease"",""cases"",""inc"""
"PA,""Pará"",""Magalhães Barata"",1504109,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Marabá"",1504208,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Maracanã"",1504307,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Marapanim"",1504406,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Marituba"",1504422,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Medicilândia"",1504455,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Melgaço"",1504505,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Mocajuba"",1504604,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Moju"",1504703,""2004-2008"",""rural"",""chagas"",8,4.0138227921314"
"NA,NA,""Mojuí dos Campos"",1504752,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Monte Alegre"",1504802,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Muaná"",1504901,""2004-2008"",""rural"",""chagas"",1,1.2520665971602"
"PA,""Pará"",""Nova Esperança do Piriá"",1504950,""2004-2008"",""rural"",""chagas"",1,1.18320014740286"
"PA,""Pará"",""Nova Ipixuna"",1504976,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Nova Timboteua"",1505007,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Novo Progresso"",1505031,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Novo Repartimento"",1505064,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Óbidos"",1505106,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Oeiras do Pará"",1505205,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Oriximiná"",1505304,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Ourém"",1505403,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Ourilândia do Norte"",1505437,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Pacajá"",1505486,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Palestina do Pará"",1505494,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Paragominas"",1505502,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Parauapebas"",1505536,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Pau D'Arco"",1505551,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Peixe-Boi"",1505601,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Piçarra"",1505635,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Placas"",1505650,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Ponta de Pedras"",1505700,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Portel"",1505809,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Porto de Moz"",1505908,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Prainha"",1506005,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Primavera"",1506104,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Quatipuru"",1506112,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Redenção"",1506138,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Rio Maria"",1506161,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Rondon do Pará"",1506187,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Rurópolis"",1506195,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Salinópolis"",1506203,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Salvaterra"",1506302,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santa Bárbara do Pará"",1506351,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santa Cruz do Arari"",1506401,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santa Izabel do Pará"",1506500,""2004-2008"",""rural"",""chagas"",1,1.42905714293796"
"PA,""Pará"",""Santa Luzia do Pará"",1506559,""2004-2008"",""rural"",""chagas"",1,1.82670596153446"
"PA,""Pará"",""Santa Maria das Barreiras"",1506583,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santa Maria do Pará"",1506609,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santana do Araguaia"",1506708,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santarém"",1506807,""2004-2008"",""rural"",""chagas"",22,5.95880709377855"
"PA,""Pará"",""Santarém Novo"",1506906,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Santo Antônio do Tauá"",1507003,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Caetano de Odivelas"",1507102,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Domingos do Araguaia"",1507151,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Domingos do Capim"",1507201,""2004-2008"",""rural"",""chagas"",1,0.79632189572765"
"PA,""Pará"",""São Félix do Xingu"",1507300,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Francisco do Pará"",1507409,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Geraldo do Araguaia"",1507458,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São João da Ponta"",1507466,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São João de Pirabas"",1507474,""2004-2008"",""rural"",""chagas"",1,2.2102181079668"
"PA,""Pará"",""São João do Araguaia"",1507508,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Miguel do Guamá"",1507607,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""São Sebastião da Boa Vista"",1507706,""2004-2008"",""rural"",""chagas"",2,3.57898241017025"
