"state_abbrev,""state"",""municipality"",""geocode"",""year"",""sit"",""carpond"",""h"",""a"",""ipm"",""csaude"",""ceduca"",""ccv"",""cnv"",""totpescar"",""totpesres"""
"AM,""Amazonas"",""Eirunepé"",1301407,2000,""rural"",0.462604167,0.989714286,0.500258441,0.495112925,0.105026545,0.296998142,0.242039197,0.355936116,866,875"
"AM,""Amazonas"",""Envira"",1301506,2000,""rural"",0.456597499,0.960608774,0.495834998,0.476303449,0.075653493,0.35273637,0.259316277,0.31229386,1073,1117"
"AM,""Amazonas"",""Fonte Boa"",1301605,2000,""rural"",0.551120959,1,0.564914091,0.564914091,0.125447355,0.307882038,0.203042548,0.363628059,2353,2353"
"AM,""Amazonas"",""Guajará"",1301654,2000,""rural"",0.496129593,0.981266726,0.515285714,0.505632726,0.076744714,0.308302039,0.248695718,0.36625753,1100,1121"
"AM,""Amazonas"",""Humaitá"",1301704,2000,""rural"",0.495479408,0.989247312,0.558589545,0.552583205,0.111888954,0.304856861,0.234063353,0.349190832,920,930"
"AM,""Amazonas"",""Ipixuna"",1301803,2000,""rural"",0.538322829,0.996781116,0.562932493,0.561120478,0.107081882,0.31001161,0.238714744,0.344191764,1858,1864"
"AM,""Amazonas"",""Iranduba"",1301852,2000,""rural"",0.337504303,0.751445087,0.42010989,0.315689513,0.118635016,0.352090418,0.253019008,0.276255558,1560,2076"
"AM,""Amazonas"",""Itacoatiara"",1301902,2000,""rural"",0.436441327,0.945401246,0.478216131,0.452106126,0.096855431,0.288404944,0.28972684,0.325012785,2580,2729"
"AM,""Amazonas"",""Itamarati"",1301951,2000,""rural"",0.535345805,0.981634527,0.570167936,0.559696532,0.157503691,0.29313187,0.227876435,0.321488004,1069,1089"
"AM,""Amazonas"",""Itapiranga"",1302009,2000,""rural"",0.442857143,0.989035088,0.478608383,0.473360485,0.060226345,0.254417702,0.303613581,0.381742372,451,456"
"AM,""Amazonas"",""Japurá"",1302108,2000,""rural"",0.40922619,0.899219304,0.46183899,0.415294535,0.077330599,0.340938221,0.251217637,0.330513544,1267,1409"
"AM,""Amazonas"",""Juruá"",1302207,2000,""rural"",0.501111111,0.980544747,0.542668178,0.532110432,0.148687234,0.271780765,0.236088864,0.343443137,756,771"
"AM,""Amazonas"",""Jutaí"",1302306,2000,""rural"",0.518668047,0.991750147,0.53805987,0.533620956,0.070674909,0.331656732,0.247717132,0.349951227,1683,1697"
"AM,""Amazonas"",""Lábrea"",1302405,2000,""rural"",0.46601283,0.95623216,0.496377636,0.474652259,0.083189752,0.29851423,0.240333904,0.377962114,1005,1051"
"AM,""Amazonas"",""Manacapuru"",1302504,2000,""rural"",0.443034547,0.924366872,0.489662559,0.452627848,0.107366022,0.310756585,0.265525678,0.316351716,2701,2922"
"AM,""Amazonas"",""Manaquiri"",1302553,2000,""rural"",0.439731312,0.932628798,0.487579253,0.454730452,0.097318384,0.273556651,0.282410065,0.346714899,706,757"
"AM,""Amazonas"",""Manaus"",1302603,2000,""rural"",0.396664366,0.883268482,0.463967555,0.409807918,0.114729021,0.274822161,0.276706053,0.333742766,681,771"
"AM,""Amazonas"",""Manicoré"",1302702,2000,""rural"",0.467637918,0.974936279,0.490548812,0.478253833,0.070615853,0.312145758,0.260606125,0.356632265,2295,2354"
"AM,""Amazonas"",""Maraã"",1302801,2000,""rural"",0.492283272,1,0.508032262,0.508032262,0.112652777,0.3223544,0.231068679,0.333924144,1293,1293"
"AM,""Amazonas"",""Maués"",1302900,2000,""rural"",0.476669365,0.991816694,0.512737702,0.508541813,0.094136488,0.275972782,0.267237284,0.362653446,1818,1833"
"AM,""Amazonas"",""Nhamundá"",1303007,2000,""rural"",0.476655396,0.96562184,0.510583396,0.493030478,0.109206768,0.290192632,0.270929466,0.329671135,955,989"
"AM,""Amazonas"",""Nova Olinda do Norte"",1303106,2000,""rural"",0.518971516,0.995581738,0.534743942,0.532381303,0.063971889,0.317669414,0.272633863,0.345724834,1352,1358"
